ID,wearable,engagement_level,pscore,ipw,outcome
0,0,0,0.08488624201569334,0.9865986519409162,0
1,0,0,0.08674331060439354,0.9886048582873327,0
2,0,0,0.061195595639563054,0.9617019219407813,0
3,0,0,0.05874934045567484,0.9592025151270406,0
4,1,1,0.2686541709493314,0.36161731514089057,0
5,0,0,0.11375420026144277,1.0187354346460584,0
6,0,0,0.03447114546392715,0.9350833957559076,0
7,0,0,0.06604877970322982,0.9666993097487625,1
8,0,0,0.023173722930224648,0.9242687478762527,0
9,0,0,0.19666307165090974,1.1238746385720326,0
10,0,0,0.08976580633792434,0.9918875892450653,0
11,0,0,0.0930810887302601,0.9955134784165639,0
12,0,0,0.10702690220803546,1.0110606940257894,0
13,0,0,0.12994349281477155,1.0376912218273786,0
14,0,0,0.09911172723519233,1.0021775477541457,1
15,0,0,0.05368962567727966,0.9540738688890286,0
16,0,0,0.10354727159071779,1.007136206280472,1
17,0,0,0.16432440623664138,1.0803833529875297,0
18,0,0,0.20618089506426923,1.1373497997040465,0
19,0,0,0.13097263547183685,1.0389201040753218,1
20,0,0,0.07511698297755555,0.9761775093530484,0
21,0,0,0.06359197046834075,0.9641630267218656,0
22,0,0,0.02821852665130503,0.9290668990516368,0
23,0,0,0.10122129549449693,1.0045298085880212,0
24,0,0,0.08512340276002686,0.9868544049805708,0
25,0,0,0.04881019233686753,0.949179640831108,0
26,0,0,0.17914217693192402,1.0998859663971614,0
27,0,0,0.04895725252882612,0.9493264129300013,0
28,0,0,0.13525971617485716,1.0440707075726625,0
29,0,0,0.06211610597531995,0.9626458090943019,1
30,0,0,0.05897042207918494,0.959427866225768,0
31,1,1,0.11459298200816957,0.8477831565040499,0
32,0,0,0.1047533196342712,1.008492988358323,0
33,0,0,0.07397059760122617,0.9749690427336023,0
34,0,0,0.034621546018342095,0.9352290765099848,0
35,0,0,0.1290495063828269,1.0366260845094033,0
36,0,0,0.04114791327776665,0.9415946552155193,0
37,0,0,0.1523633089495377,1.0651379412104198,1
38,0,0,0.07960514970374191,0.9809376918061764,1
39,0,0,0.04496021768585883,0.9453532896946153,1
40,0,0,0.10889681972986186,1.013182333976412,1
41,0,0,0.059570553862858464,0.9600401217852145,0
42,0,0,0.14120109923848692,1.0512938467891937,0
43,0,0,0.044199427825509875,0.9446008155716812,0
44,0,0,0.0509972488907609,0.9513671050422237,0
