model,delta_log_loss,delta_auc,delta_brier,rel_log_loss_pct
logreg,0.0028175210347633484,-0.007528956354782346,0.0004161288338889041,1.0865227523434684
lgbm,0.00023691877648535087,0.0013899903823531012,-0.0005327443229827394,0.08690023463335426
