prob_col,group_var,level,n,actual_rate,pred_rate,log_loss,auc,brier
logreg__M0_baseline,sex,F,10025,0.08249376558603491,0.08285384411619684,0.2614993722435178,0.6931216054801882,0.07030336148085095
logreg__M0_baseline,sex,M,9975,0.07939849624060151,0.07936708892903128,0.25712051991298296,0.685213509372281,0.06876281430307249
logreg__M0_baseline,age_bin,0-24,551,0.02722323049001815,0.029892754680547237,0.12159521940911065,0.6038557213930349,0.026162323685821293
logreg__M0_baseline,age_bin,25-44,10977,0.052200054659743096,0.05221231113609545,0.1936838947228071,0.6382783034851007,0.047055988890371964
logreg__M0_baseline,age_bin,45-64,7913,0.11639074939972198,0.11645607983990136,0.3447848668081003,0.6159452900414185,0.09825045853372862
logreg__M0_baseline,age_bin,65+,559,0.1967799642218247,0.1988803083880493,0.47398687576762183,0.5945535533508808,0.14721889577957709
logreg__M0_baseline,cohort,non_wearable,18057,0.0834025585645456,0.081738380010678,0.26460619028144994,0.6876159591388941,0.07129686800314493
logreg__M0_baseline,cohort,wearable_high_engagement,1102,0.05898366606170599,0.07687895465037667,0.21265804335597965,0.6867888138862102,0.05355542937854445
logreg__M0_baseline,cohort,wearable_low_engagement,841,0.057074910820451845,0.07327700767471174,0.20685523327329378,0.7094367381252628,0.05264523520895943
logreg__M0_baseline,region,Midwest,401,0.06982543640897755,0.0805712945637875,0.22022797093251617,0.7423400995787055,0.057117026992990504
logreg__M0_baseline,region,Northeast,327,0.05504587155963303,0.07598824392864341,0.20383917159792975,0.7490111470693995,0.05179619903502761
logreg__M0_baseline,region,South,760,0.05394736842105263,0.0731668040214698,0.21083546373347506,0.6440856202720581,0.052680775592772996
logreg__M0_baseline,region,West,455,0.05714285714285714,0.07380781436941854,0.20464315838950906,0.6927559619867313,0.05145945412470365
